,Assumed Eviction Age (s),Assumed Eviction Age (hrs),Assumed Eviction Age (days),Assumed Eviction Age (Logical),Total IOPS,Write Rate (MB/s),Cache Size (GB),Arrival Rate (MB/IO),Mean Residency,Mean Time In System,Mean Residency (s),Mean Time In System (s),TotalIOPSSaved,IOPSSavedRatio,Episodes admitted,TotalChunkWritten,B written (based on CW),B written,Cutoff score,TotalChunkSaved,TotalChunkQueries,Dead Time Ratio,Service Time Saved,Service Time Saved Ratio,Target,Target Write Rate,Target Cache Size,Policy
0,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,24.046242549728355,366.66655169891953,0.11550703285706343,2023.8205282473978,3250.5947010544587,9721.49822449963,15614.35422449963,10461,0.5815867015066437,497,16621,2178547712,2245525504,0.0031614401223776225,240351,257483,0.37739991774708437,330.39852797202866,0.514749507229405,Cache Size,,366.475,utility_service_time_size_fixed
0,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,295.8276656233623,2084.8386980753935,1.421019347306388,275.58033832325077,1502.354511130312,1323.760547105684,7216.616547105684,13866,0.7708900872852615,4121,204479,26801471488,27047624704,-0.006924825174825174,291297,497654,0.8165677033738761,414.08924475525265,0.6451367564955015,Max Write Rate,295.8276656233623,,utility_service_time_size_fixed
0,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,154.76341679289098,1273.0197270420574,0.743411908600656,526.7250453381196,1753.4992181451807,2530.1436177684946,8422.999617768493,13833,0.7690554289208873,2030,106974,14021296128,14164295680,1.948051948051941e-05,292073,400138,0.6996148958108578,414.3880664335742,0.6456023103604343,Max Write Rate (No waste),154.76341679289098,,utility_service_time_size_fixed
0,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,295.8276656233623,2084.8386980753935,1.421019347306388,275.58033832325077,1502.354511130312,1323.760547105684,7216.616547105684,13866,0.7708900872852615,4121,204479,26801471488,27047624704,-0.006924825174825174,291297,497654,0.8165677033738761,414.08924475525265,0.6451367564955015,Max Write Rate (Not empty),295.8276656233623,,utility_service_time_size_fixed
0,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,34.05333356209049,456.0825904071763,0.1635764718963696,1628.334310476676,2855.108483283737,7821.765263888927,13714.621263888925,11038,0.6136654250291877,638,23538,3085172736,3165913088,0.0021268028846153845,254385,278539,0.4296769036937311,349.3015104895105,0.5441997018043143,Write Rate,34.0,,utility_service_time_size_fixed
1,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,50.061496356912954,588.4467904394353,0.24047228553955635,1279.0011270699072,2505.7752998769683,6143.730144248831,12036.586144248831,11726,0.6519152721409908,834,34603,4535484416,4616224768,0.0015467657342657342,270339,305558,0.4895786836382715,371.15931468531693,0.5782534066073233,Write Rate,50.0,,utility_service_time_size_fixed
2,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,100.00291340863204,955.6604761081685,0.48036776560849503,810.407331857703,2037.1815046647641,3892.8221785548894,9785.678178554888,12992,0.7222994384833491,1421,69123,9060089856,9172811776,0.0005390625,291689,361672,0.6021918861907877,404.3809020979048,0.6300114935908584,Write Rate,100.0,,utility_service_time_size_fixed
3,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,75.04233205309005,786.2094964602136,0.3604686718185356,1006.6474455369192,2233.4216183439803,4835.468964710473,10728.324964710473,12288,0.6831600600433646,1140,51870,6798704640,6889144320,0.0010538133741258742,285849,338409,0.5492801550459961,391.18000699301064,0.609444954472359,Write Rate,75.0,,utility_service_time_size_fixed
4,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,20.037329842592968,332.23562322529295,0.09625006949463502,2307.8651263537904,3534.639299160852,11085.917162655816,16978.773162655816,10054,0.5589592483460277,425,13850,1815347200,1879965696,0.0041463455898939775,234716,249059,0.34707195529068724,320.7923286713297,0.499783380150289,Write Rate,20.0,,utility_service_time_size_fixed
5,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,10.007091012362133,212.46993103761275,0.04806943903930617,3299.3699580743096,4526.144130881371,15848.648010880292,21741.504010880293,8653,0.4810696614221382,254,6917,906625024,942407680,0.008634506118881119,209589,216779,0.2710417824383716,282.7166678321689,0.440462814242528,Write Rate,10.0,,utility_service_time_size_fixed
6,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,60.05556672172395,665.6806234474593,0.28847917940734974,1136.1587771915877,2362.932949998649,5457.581530108631,11350.437530108631,12110,0.6732640240173459,970,41511,5440929792,5530189824,0.0011041258741258742,275611,317803,0.5191743476291879,380.1837062937082,0.5923130973752491,Write Rate,60.0,,utility_service_time_size_fixed
7,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,90.07249954295997,897.5155574652957,0.432666648134764,897.3921682005814,2124.1663410076426,4310.657120074126,10203.513120074127,12669,0.7043420247956858,1312,62259,8160411648,8269725696,0.0005847457627118645,291658,354751,0.577532064755868,400.6393041958087,0.6241822131513354,Write Rate,90.0,,utility_service_time_size_fixed
8,5892.856,1.6369044444444443,0.06820435185185185,1226.7741728070612,17987,30.00101869645129,422.7322273273484,0.14411102462889866,1777.0057385349858,3003.779911342047,8535.914074877765,14428.770074877766,10788,0.5997664980263524,572,20737,2718040064,2792882176,0.0025950226244343894,250305,271613,0.4084101395627736,342.86007692307675,0.5341641705490012,Write Rate,30.0,,utility_service_time_size_fixed
